Time (s),1_pre,,,Time (s),1_post,,,Time (s),2_pre,,,Time (s),2_post,3_post,,,Time (s),3_pre,,,Time (s),4_pre,4_post,,,Time (s),5_pre,5_post,6_pre,,,Time (s),6_post,7_pre,7_post,8_pre,8_post,,,Time (s),9_pre,,,Time (s),9_post,,,Time (s),10_pre,,,Time (s),10_post,,,Time (s),11_pre,,,Time (s),11_post
0,2.5069,,,0,-0.0421,,,0,1.8291,,,0,-0.0478,-0.0723,,,0,1.6991,,,0,2.4831,0.0183,,,0,2.2385,-0.0465,2.8245,,,0,0.004,6.0307,-0.0611,1.2882,0.0392,,,0,0.0553,,,0,-0.0626,,,0,1.7685,,,0,-0.0185,,,0,0.0222,,,0,-0.0989
0.01,2.1419,,,0.01,-0.0299,,,0.01,1.6544,,,0.01,0.0187,0.0184,,,0.01,1.3787,,,0.01,2.0583,0.0094,,,0.01,1.862,-0.0249,2.3457,,,0.01,0.0307,3.8762,-0.1016,0.8775,0.1143,,,0.01,0.4359,,,0.01,-0.1834,,,0.01,1.5194,,,0.01,0.0156,,,0.01,0.0147,,,0.01,-0.0521
0.02,1.9589,,,0.02,-0.0311,,,0.02,1.4306,,,0.02,-0.0455,0.0359,,,0.02,1.1296,,,0.02,1.8234,0.0067,,,0.02,1.5504,-0.0355,2.1159,,,0.02,0.0428,2.9506,-0.1201,0.5983,0.1153,,,0.02,0.2988,,,0.02,-0.1152,,,0.02,1.3721,,,0.02,0.0572,,,0.02,-0.004,,,0.02,-0.0558
0.03,1.809,,,0.03,-0.0361,,,0.03,1.2389,,,0.03,0.0272,0.0146,,,0.03,0.9337,,,0.03,1.6558,-0.0047,,,0.03,1.3321,-0.0067,1.9024,,,0.03,-0.0143,2.1189,-0.0726,0.5767,0.026,,,0.03,0.1225,,,0.03,-0.0225,,,0.03,1.172,,,0.03,0.0263,,,0.03,-0.024,,,0.03,-0.0134
0.04,1.702,,,0.04,-0.0266,,,0.04,1.1081,,,0.04,-0.021,-0.0068,,,0.04,0.8515,,,0.04,1.5206,0.0201,,,0.04,1.2208,-0.0199,1.7238,,,0.04,0.084,1.5828,-0.059,0.5179,-0.0063,,,0.04,0.2223,,,0.04,0.2145,,,0.04,1.1385,,,0.04,-0.0139,,,0.04,0.0079,,,0.04,-0.0806
0.05,1.4704,,,0.05,-0.0535,,,0.05,1.0257,,,0.05,-0.0426,-0.0175,,,0.05,0.7012,,,0.05,1.3212,0.0287,,,0.05,1.0471,-0.0141,1.5354,,,0.05,0.031,1.3759,0.0113,0.5679,-0.0108,,,0.05,-0.0576,,,0.05,-0.1437,,,0.05,1.0161,,,0.05,-0.0202,,,0.05,-0.0321,,,0.05,-0.0388
0.06,1.3519,,,0.06,-0.0066,,,0.06,0.8706,,,0.06,0.0186,-0.0363,,,0.06,0.6633,,,0.06,1.1956,0.0333,,,0.06,0.9024,-0.0257,1.3647,,,0.06,0.0248,1.03,0.0353,0.3539,0.0373,,,0.06,0.4795,,,0.06,-0.0889,,,0.06,0.9506,,,0.06,0.0318,,,0.06,0.007,,,0.06,-0.0105
0.07,1.2446,,,0.07,0.0537,,,0.07,0.8167,,,0.07,0.0167,-0.0334,,,0.07,0.495,,,0.07,1.0629,-0.0157,,,0.07,0.8178,0.05,1.1395,,,0.07,0.0199,0.7808,0.2196,0.4942,0.0852,,,0.07,0.2172,,,0.07,0.0038,,,0.07,0.8236,,,0.07,-0.047,,,0.07,0.0515,,,0.07,-0.0556
0.08,1.151,,,0.08,-0.0356,,,0.08,0.6803,,,0.08,0.0032,-0.0038,,,0.08,0.5366,,,0.08,0.9918,0.0519,,,0.08,0.7195,0.0639,1.0081,,,0.08,-0.0083,0.6446,-0.0228,0.3338,0.0292,,,0.08,-0.1465,,,0.08,-0.105,,,0.08,0.7327,,,0.08,0.0437,,,0.08,-0.0079,,,0.08,-0.0262
0.09,1.0191,,,0.09,0.0146,,,0.09,0.623,,,0.09,-0.0439,-0.0481,,,0.09,0.367,,,0.09,0.8888,0.0192,,,0.09,0.6306,0.0498,0.8738,,,0.09,0.0128,0.4502,0.0049,0.4021,0.0788,,,0.09,-0.1809,,,0.09,0.0292,,,0.09,0.6488,,,0.09,-0.015,,,0.09,0.015,,,0.09,0.0002
0.1,0.9117,,,0.1,-0.0206,,,0.1,0.5004,,,0.1,0.0185,-0.0211,,,0.1,0.3363,,,0.1,0.7228,0.0295,,,0.1,0.5023,0.028,0.7253,,,0.1,0.0064,0.2299,0.0454,0.3818,0.0769,,,0.1,0.414,,,0.1,-0.1667,,,0.1,0.6201,,,0.1,0.0088,,,0.1,-0.0044,,,0.1,0.0264
0.11,0.8313,,,0.11,-0.0047,,,0.11,0.4406,,,0.11,-0.026,-0.0644,,,0.11,0.2454,,,0.11,0.6547,0.0047,,,0.11,0.4342,0.1041,0.5463,,,0.11,-0.0111,0.0531,-0.0165,0.3372,-0.0167,,,0.11,0.0681,,,0.11,-0.1317,,,0.11,0.4823,,,0.11,-0.0105,,,0.11,0.0039,,,0.11,0.0595
0.12,0.6319,,,0.12,-0.0111,,,0.12,0.377,,,0.12,-0.0542,-0.0436,,,0.12,0.2534,,,0.12,0.5372,0.0433,,,0.12,0.3713,0.0787,0.4449,,,0.12,-0.0017,-0.1479,0.0142,0.1405,0.0589,,,0.12,0.2292,,,0.12,-0.0805,,,0.12,0.4938,,,0.12,0.1082,,,0.12,-0.034,,,0.12,0.0199
0.13,0.6456,,,0.13,-0.0285,,,0.13,0.3648,,,0.13,-0.048,0.0025,,,0.13,0.1635,,,0.13,0.4289,0.0295,,,0.13,0.3283,0.0847,0.3196,,,0.13,-0.0023,-0.1197,0.009,0.2456,0.1361,,,0.13,0.3002,,,0.13,0.131,,,0.13,0.371,,,0.13,0.0184,,,0.13,0.0401,,,0.13,0.0072
0.14,0.5043,,,0.14,0.0118,,,0.14,0.2324,,,0.14,0.0092,-0.0781,,,0.14,0.1102,,,0.14,0.3335,-0.0014,,,0.14,0.2434,0.1454,0.1681,,,0.14,0.0587,-0.1163,-0.0538,0.106,-0.0236,,,0.14,-0.0726,,,0.14,0.2727,,,0.14,0.3775,,,0.14,0.1168,,,0.14,0.0024,,,0.14,0.003
0.15,0.436,,,0.15,-0.0057,,,0.15,0.177,,,0.15,-0.0203,-0.0507,,,0.15,0.1108,,,0.15,0.2795,-0.0237,,,0.15,0.1726,0.1225,0.1023,,,0.15,0.039,-0.2259,-0.0483,0.1297,-0.0815,,,0.15,-0.0692,,,0.15,0.3859,,,0.15,0.2966,,,0.15,0.0661,,,0.15,-0.0378,,,0.15,0.0299
0.16,0.3794,,,0.16,-0.0241,,,0.16,0.1565,,,0.16,0.041,-0.0216,,,0.16,0.006,,,0.16,0.252,-0.0153,,,0.16,0.1857,0.1476,0.0093,,,0.16,-0.0014,-0.3234,0.0751,0.1458,0.1316,,,0.16,0.0273,,,0.16,0.0191,,,0.16,0.2126,,,0.16,0.097,,,0.16,0.0438,,,0.16,0.0241
0.17,0.2557,,,0.17,-0.0285,,,0.17,0.06,,,0.17,0.0555,-0.0375,,,0.17,-0.0442,,,0.17,0.1719,0.0128,,,0.17,0.1586,0.1393,-0.0981,,,0.17,0.0227,-0.2853,0.1031,0.13,0.154,,,0.17,-0.1086,,,0.17,0.1854,,,0.17,0.1955,,,0.17,0.1537,,,0.17,0.0064,,,0.17,0.0491
0.18,0.203,,,0.18,0.0356,,,0.18,0.0005,,,0.18,0.0296,-0.0475,,,0.18,-0.0863,,,0.18,0.1398,-0.0205,,,0.18,0.1167,0.0643,-0.2122,,,0.18,0.0025,-0.2954,0.0285,-0.0073,0.02,,,0.18,-0.1971,,,0.18,-0.082,,,0.18,0.0818,,,0.18,-0.0193,,,0.18,0.021,,,0.18,-0.0032
0.19,0.1096,,,0.19,-0.0185,,,0.19,0.0374,,,0.19,-0.0035,-0.0605,,,0.19,-0.11,,,0.19,0.0132,-0.0331,,,0.19,0.0757,0.1238,-0.31,,,0.19,0.0222,-0.5306,-0.0089,0.0972,0.013,,,0.19,-0.0947,,,0.19,0.0193,,,0.19,0.0694,,,0.19,-0.0287,,,0.19,0.0348,,,0.19,0.0132
